Book,Chapter,# of words/chapter,Approx. reading time
1 Timothy,5,470,2 m
1 Timothy,6,477,2 m
2 Timothy,1,438,2 m
2 Timothy,2,506,2 m
2 Timothy,3,297,1 m
2 Timothy,4,453,2 m
Titus,1,337,1 m
Titus,2,265,1 m
Titus,3,313,1 m
Philemon,1,439,2 m
Hebrews,1,338,1 m
Hebrews,2,472,2 m
Hebrews,3,362,1 m
Hebrews,4,404,2 m
Hebrews,5,321,1 m
Hebrews,6,425,2 m
Hebrews,7,607,2 m
Hebrews,8,387,2 m
Hebrews,9,678,3 m
Hebrews,10,784,3 m
Hebrews,11,922,4 m
Hebrews,12,696,3 m
Hebrews,13,509,2 m
James,1,544,2 m
James,2,528,2 m
James,3,378,2 m
James,4,369,1 m
James,5,485,2 m
1 Peter,1,597,2 m
1 Peter,2,549,2 m
1 Peter,3,551,2 m
1 Peter,4,479,2 m
1 Peter,5,300,1 m
2 Peter,1,488,2 m
2 Peter,2,581,2 m
2 Peter,3,484,2 m
1 John,1,247,1 m
1 John,2,736,3 m
1 John,3,534,2 m
1 John,4,480,2 m
1 John,5,520,2 m
2 John,1,298,1 m
3 John,1,294,1 m
Jude,1,608,2 m
Revelation,1,592,2 m
Revelation,2,802,3 m
Revelation,3,658,3 m
Revelation,4,348,1 m
Revelation,5,435,2 m
Revelation,6,540,2 m
Revelation,7,491,2 m
Revelation,8,397,2 m
Revelation,9,592,2 m
Revelation,10,353,1 m
Revelation,11,580,2 m
Revelation,12,497,2 m
Revelation,13,538,2 m
Revelation,14,651,3 m
Revelation,15,252,1 m
Revelation,16,567,2 m
Revelation,17,522,2 m
Revelation,18,747,3 m
Revelation,19,634,3 m
Revelation,20,477,2 m
Revelation,21,749,3 m
Revelation,22,573,2 m
